2024-08-27T22:03:33.849-0500	INFO	retention/cleanup.go:200	deleted &{view MATERIAL_USER_ALL_E99CB381_4 }

2024-08-27T22:03:37.213-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_VAR_TABLE_9F95E1BE_4 }

2024-08-27T22:03:38.059-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_VAR_TABLE_9F95E1BE_4 }

2024-08-27T22:03:47.701-0500	INFO	retention/cleanup.go:103	purging complete

2024-08-27T22:06:18.892-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:06:18.915-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:06:18.959-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:06:26.957-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 6'.

2024-08-27T22:06:35.730-0500	INFO	base/model.go:711	Compiled material. Material_rsTracks_var_table_e3351b8c_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.740-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:06:35.752-0500	INFO	base/model.go:711	Compiled material. Material_user_default_id_stitcher_1551cc21_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.754-0500	INFO	base/model.go:711	Compiled material. Material_user_all_e99cb381_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.757-0500	INFO	base/model.go:711	Compiled material. Material_user_main_id_5f04745a_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.758-0500	INFO	base/model.go:711	Compiled material. Material_user_var_table_9f95e1be_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.761-0500	INFO	base/model.go:711	Compiled material. Material_last_seen_7b92241d_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.764-0500	INFO	base/model.go:711	Compiled material. Material_first_seen_8ee49199_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.768-0500	INFO	base/model.go:711	Compiled material. Material_days_active_74aa05e9_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:35.772-0500	INFO	base/model.go:711	Compiled material. Material_user_lifespan_5b965bef_6 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/6/compile. 


2024-08-27T22:06:37.166-0500	INFO	base/material.go:740	Preparing material Material_rsTracks_var_table_e3351b8c_6

2024-08-27T22:06:38.260-0500	INFO	base/material.go:822	Running material Material_rsTracks_var_table_e3351b8c_6

2024-08-27T22:06:41.313-0500	INFO	base/material.go:881	Material Material_rsTracks_var_table_e3351b8c_6 ran in 3.052747458s

2024-08-27T22:06:43.023-0500	INFO	base/material.go:740	Preparing material Material_user_default_id_stitcher_1551cc21_6

2024-08-27T22:06:43.737-0500	INFO	base/material.go:822	Running material Material_user_default_id_stitcher_1551cc21_6

2024-08-27T22:06:43.743-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:07:01.836-0500	INFO	base/material.go:881	Material Material_user_default_id_stitcher_1551cc21_6 ran in 18.0994275s

2024-08-27T22:07:04.236-0500	INFO	base/material.go:740	Preparing material Material_user_main_id_5f04745a_6

2024-08-27T22:07:06.840-0500	INFO	base/material.go:822	Running material Material_user_main_id_5f04745a_6

2024-08-27T22:07:11.557-0500	INFO	base/material.go:881	Material Material_user_main_id_5f04745a_6 ran in 4.715789833s

2024-08-27T22:07:13.087-0500	INFO	base/material.go:740	Preparing material Material_user_all_e99cb381_6

2024-08-27T22:07:13.807-0500	INFO	base/material.go:822	Running material Material_user_all_e99cb381_6

2024-08-27T22:07:15.815-0500	INFO	base/material.go:881	Material Material_user_all_e99cb381_6 ran in 2.00760875s

2024-08-27T22:07:17.494-0500	INFO	base/material.go:740	Preparing material Material_user_var_table_9f95e1be_6

2024-08-27T22:07:18.224-0500	INFO	base/material.go:822	Running material Material_user_var_table_9f95e1be_6

2024-08-27T22:07:21.841-0500	INFO	base/material.go:881	Material Material_user_var_table_9f95e1be_6 ran in 3.616222541s

2024-08-27T22:07:25.081-0500	INFO	base/material.go:740	Preparing material Material_last_seen_7b92241d_6

2024-08-27T22:07:26.898-0500	INFO	base/material.go:822	Running material Material_last_seen_7b92241d_6

2024-08-27T22:07:32.147-0500	INFO	base/material.go:881	Material Material_last_seen_7b92241d_6 ran in 5.249090417s

2024-08-27T22:07:33.981-0500	INFO	base/material.go:740	Preparing material Material_days_active_74aa05e9_6

2024-08-27T22:07:36.119-0500	INFO	base/material.go:822	Running material Material_days_active_74aa05e9_6

2024-08-27T22:07:41.468-0500	INFO	base/material.go:881	Material Material_days_active_74aa05e9_6 ran in 5.348531584s

2024-08-27T22:07:43.173-0500	INFO	base/material.go:740	Preparing material Material_first_seen_8ee49199_6

2024-08-27T22:07:45.115-0500	INFO	base/material.go:822	Running material Material_first_seen_8ee49199_6

2024-08-27T22:07:49.546-0500	INFO	base/material.go:881	Material Material_first_seen_8ee49199_6 ran in 4.431057083s

2024-08-27T22:07:51.902-0500	INFO	base/material.go:740	Preparing material Material_user_lifespan_5b965bef_6

2024-08-27T22:07:53.433-0500	INFO	base/material.go:822	Running material Material_user_lifespan_5b965bef_6

2024-08-27T22:07:58.021-0500	INFO	base/material.go:881	Material Material_user_lifespan_5b965bef_6 ran in 4.588404667s

2024-08-27T22:17:01.184-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:17:01.205-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:17:01.246-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:17:04.943-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 7'.

2024-08-27T22:17:13.830-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:17:13.847-0500	INFO	base/model.go:711	Compiled material. Material_user_default_id_stitcher_1551cc21_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.850-0500	INFO	base/model.go:711	Compiled material. Material_rsTracks_var_table_e3351b8c_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.851-0500	INFO	base/model.go:711	Compiled material. Material_user_all_e99cb381_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.854-0500	INFO	base/model.go:711	Compiled material. Material_user_main_id_5f04745a_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.855-0500	INFO	base/model.go:711	Compiled material. Material_user_var_table_9f95e1be_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.858-0500	INFO	base/model.go:711	Compiled material. Material_days_active_74aa05e9_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.861-0500	INFO	base/model.go:711	Compiled material. Material_first_seen_8ee49199_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.865-0500	INFO	base/model.go:711	Compiled material. Material_last_seen_7b92241d_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:13.871-0500	INFO	base/model.go:711	Compiled material. Material_user_lifespan_5b965bef_7 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/7/compile. 


2024-08-27T22:17:14.505-0500	INFO	base/material.go:740	Preparing material Material_rsTracks_var_table_e3351b8c_7

2024-08-27T22:17:15.207-0500	INFO	base/material.go:822	Running material Material_rsTracks_var_table_e3351b8c_7

2024-08-27T22:17:17.793-0500	INFO	base/material.go:881	Material Material_rsTracks_var_table_e3351b8c_7 ran in 2.585661416s

2024-08-27T22:17:19.295-0500	INFO	base/material.go:740	Preparing material Material_user_default_id_stitcher_1551cc21_7

2024-08-27T22:17:19.908-0500	INFO	base/material.go:822	Running material Material_user_default_id_stitcher_1551cc21_7

2024-08-27T22:17:19.921-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:17:35.975-0500	INFO	base/material.go:881	Material Material_user_default_id_stitcher_1551cc21_7 ran in 16.06633675s

2024-08-27T22:17:37.739-0500	INFO	base/material.go:740	Preparing material Material_user_all_e99cb381_7

2024-08-27T22:17:38.342-0500	INFO	base/material.go:822	Running material Material_user_all_e99cb381_7

2024-08-27T22:17:39.280-0500	INFO	base/material.go:881	Material Material_user_all_e99cb381_7 ran in 937.555625ms

2024-08-27T22:17:40.909-0500	INFO	base/material.go:740	Preparing material Material_user_main_id_5f04745a_7

2024-08-27T22:17:42.810-0500	INFO	base/material.go:822	Running material Material_user_main_id_5f04745a_7

2024-08-27T22:17:47.456-0500	INFO	base/material.go:881	Material Material_user_main_id_5f04745a_7 ran in 4.645288875s

2024-08-27T22:17:48.768-0500	INFO	base/material.go:740	Preparing material Material_user_var_table_9f95e1be_7

2024-08-27T22:17:49.646-0500	INFO	base/material.go:822	Running material Material_user_var_table_9f95e1be_7

2024-08-27T22:17:51.917-0500	INFO	base/material.go:881	Material Material_user_var_table_9f95e1be_7 ran in 2.270392083s

2024-08-27T22:17:54.028-0500	INFO	base/material.go:740	Preparing material Material_first_seen_8ee49199_7

2024-08-27T22:17:55.747-0500	INFO	base/material.go:822	Running material Material_first_seen_8ee49199_7

2024-08-27T22:18:00.050-0500	INFO	base/material.go:881	Material Material_first_seen_8ee49199_7 ran in 4.303409334s

2024-08-27T22:18:02.104-0500	INFO	base/material.go:740	Preparing material Material_days_active_74aa05e9_7

2024-08-27T22:18:03.650-0500	INFO	base/material.go:822	Running material Material_days_active_74aa05e9_7

2024-08-27T22:18:08.116-0500	INFO	base/material.go:881	Material Material_days_active_74aa05e9_7 ran in 4.466399875s

2024-08-27T22:18:10.806-0500	INFO	base/material.go:740	Preparing material Material_last_seen_7b92241d_7

2024-08-27T22:18:12.647-0500	INFO	base/material.go:822	Running material Material_last_seen_7b92241d_7

2024-08-27T22:18:17.661-0500	INFO	base/material.go:881	Material Material_last_seen_7b92241d_7 ran in 5.01401325s

2024-08-27T22:18:19.154-0500	INFO	base/material.go:740	Preparing material Material_user_lifespan_5b965bef_7

2024-08-27T22:18:21.041-0500	INFO	base/material.go:822	Running material Material_user_lifespan_5b965bef_7

2024-08-27T22:18:24.860-0500	INFO	base/material.go:881	Material Material_user_lifespan_5b965bef_7 ran in 3.818659875s

2024-08-27T22:20:26.813-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:20:26.836-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:20:26.878-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T22:20:29.710-0500	INFO	core/projectLoad.go:695	If this run gets interrupted, then in the future, you can resume via CLI commands(run, compile etc.) by passing '--seq_no 8'.

2024-08-27T22:20:30.780-0500	INFO	retention/cleanup.go:123	get material run results to purge for retentionConfig {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: millisecond}}

2024-08-27T22:20:30.903-0500	INFO	retention/cleanup.go:140	36 material run results found

2024-08-27T22:20:30.904-0500	INFO	retention/cleanup.go:154	36 model run results found to be cleaned for retention config {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: millisecond}}

2024-08-27T22:20:34.206-0500	INFO	retention/cleanup.go:123	get material run results to purge for retentionConfig {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: millisecond}}

2024-08-27T22:20:34.296-0500	INFO	retention/cleanup.go:140	36 material run results found

2024-08-27T22:20:34.296-0500	INFO	retention/cleanup.go:154	36 model run results found to be cleaned for retention config {srcUrl: , targetSchema: CHANDU2, rule: {value: 1, unit: millisecond}}

2024-08-27T22:20:34.297-0500	INFO	retention/cleanup.go:84	starting to run purge

2024-08-27T22:20:34.500-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_RSTRACKS_VAR_TABLE_E3351B8C_6 }

2024-08-27T22:20:35.022-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_RSTRACKS_VAR_TABLE_E3351B8C_6 }

2024-08-27T22:20:35.629-0500	INFO	retention/cleanup.go:200	deleted &{view MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_6 }

2024-08-27T22:20:35.797-0500	INFO	retention/cleanup.go:200	deleted &{table MATERIAL_USER_DEFAULT_ID_STITCHER_1551CC21_6_INTERNAL_EDGES }

